Record Type,Policy Number,Carrier Name,Last Name,First Name,DOB,Gender,State,LE Months,LE Provider,Date Of Death,Role,Product Type,Plan Name,Issue Date,Issue Age,Basic Face,Owner,Premium Required,Premium Mode,Next Premium Due,Acquisition Date,Acquisition Cost,Status,As Of Date,AV,CSV,COI,Death Benefit,Loan Balance,Transaction Date,Transaction Type,Amount,Remarks,Due Date,Estimated Amount,Note,Proceeds Amount,Proceeds Received On,Case Files Link
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2019,Premium Payment,123074.00,Policy year 2,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2020,Premium Payment,128366.18,Policy year 3,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2021,Premium Payment,133885.93,Policy year 4,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2022,Premium Payment,139643.02,Policy year 5,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2023,Premium Payment,145647.67,Policy year 6,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2024,Premium Payment,151910.52,Policy year 7,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2025,Premium Payment,158442.68,Policy year 8,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/18/2026,Premium Payment,165255.71,Policy year 9,,,,,,
Transaction,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/2018,Fee,15720.00,Closing and escrow,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2019,533506.00,496161.00,11000.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2020,514300.00,478299.00,11220.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2020,495785.00,461080.00,11444.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2021,477937.00,444481.00,11673.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2021,460731.00,428480.00,11907.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2022,444145.00,413055.00,12145.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2022,428155.00,398184.00,12388.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2023,412742.00,383850.00,12636.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2023,397883.00,370031.00,12888.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2024,383559.00,356710.00,13146.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2024,369751.00,343868.00,13409.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2025,356440.00,331489.00,13677.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2025,343608.00,319555.00,13951.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,02/18/2026,331238.00,308051.00,14230.00,6000000,0.00,,,,,,,,,,
Value,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,08/18/2026,319314.00,296962.00,14514.00,6000000,0.00,,,,,,,,,,
Premium,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2028,123074.00,Per the current carrier illustration,,,
Premium,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2029,128366.18,,,,
Premium,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2030,133885.93,,,,
Premium,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2031,139643.02,,,,
Premium,GW-6628190,Genworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2032,145647.67,,,,
Policy,NW-8815602,Nationwide,Iverson,Beatrice,12/03/1932,F,IL,48,ITM21st,,,UL,YourLife UL,05/19/2001,68,2000000,,46000,Annual,,01/18/2020,402000,Inforce,,,,,,,,,,,,,,2000000.00,02/18/2026,
Insured,,,Iverson,Beatrice,12/03/1932,,,48,,12/18/2025,,,,,,,,,,,,,,,,,,,,,,,Death certificate received,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2020,Acquisition Cost,402000.00,Purchase price,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2020,Premium Payment,46000.00,Policy year 1,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2021,Premium Payment,47932.00,Policy year 2,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2022,Premium Payment,49945.14,Policy year 3,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2023,Premium Payment,52042.84,Policy year 4,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2024,Premium Payment,54228.64,Policy year 5,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/18/2025,Premium Payment,56506.24,Policy year 6,,,,,,
Transaction,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/21/2020,Fee,4824.00,Closing and escrow,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2020,85111.00,78302.00,4300.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2020,81707.00,75170.00,4386.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2021,78439.00,72164.00,4474.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2021,75301.00,69277.00,4563.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2022,72289.00,66506.00,4654.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2022,69397.00,63845.00,4748.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2023,66622.00,61292.00,4842.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2023,63957.00,58840.00,4939.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2024,61398.00,56486.00,5038.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2024,58942.00,54227.00,5139.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,02/18/2025,56585.00,52058.00,5242.00,2000000,0.00,,,,,,,,,,
Value,NW-8815602,Nationwide,,,,,,,,,,,,,,,,,,,,,,08/18/2025,54321.00,49975.00,5347.00,2000000,0.00,,,,,,,,,,
Policy,TR-3320944,Transamerica,Jorgensen,Peter,08/25/1935,M,OH,54,Predictive,,,UL,TransACE,10/07/2005,70,3500000,,71000,Annual,,12/18/2021,615000,Inforce,,,,,,,,,,,,,,,,
Insured,,,Jorgensen,Peter,08/25/1935,,,54,,05/18/2026,,,,,,,,,,,,,,,,,,,,,,,Death certificate received,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2021,Acquisition Cost,615000.00,Purchase price,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2021,Premium Payment,71000.00,Policy year 1,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2022,Premium Payment,74124.00,Policy year 2,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2023,Premium Payment,77385.46,Policy year 3,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2024,Premium Payment,80790.42,Policy year 4,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/18/2025,Premium Payment,84345.19,Policy year 5,,,,,,
Transaction,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/21/2021,Fee,7380.00,Closing and escrow,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,02/18/2022,132769.00,119492.00,6800.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,08/18/2022,127060.00,114354.00,6936.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,02/18/2023,121596.00,109436.00,7075.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,08/18/2023,116367.00,104730.00,7216.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,02/18/2024,111364.00,100228.00,7361.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,08/18/2024,106575.00,95918.00,7508.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,02/18/2025,101992.00,91793.00,7658.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,08/18/2025,97607.00,87846.00,7811.00,3500000,0.00,,,,,,,,,,
Value,TR-3320944,Transamerica,,,,,,,,,,,,,,,,,,,,,,02/18/2026,93410.00,84069.00,7967.00,3500000,0.00,,,,,,,,,,
